Seller ID,Sellers Main Category,Sign-up Time,Activation Time,1st Listing,1st Salable,1st Transaction,phe duyet,sau thu tuc,chuan bi,san pham dau tien
236,BBFF,5/15/2018,6/4/2018,7/20/2018,8/7/2018,9/19/2018,20,127,18,43
237,BBFF,6/14/2018,7/13/2018,7/11/2018,9/6/2018,9/8/2018,29,86,57,2
238,Digital Service,6/14/2018,6/18/2018,6/15/2018,9/6/2018,9/7/2018,4,85,83,1
239,BBFF,3/7/2018,3/26/2018,4/5/2018,5/29/2018,5/30/2018,19,84,54,1
240,BBFF,3/23/2018,4/16/2018,5/30/2018,6/14/2018,7/11/2018,24,110,15,27
241,LifeStyle,4/4/2018,6/4/2018,4/22/2018,6/26/2018,7/9/2018,61,96,65,13
242,BBFF,4/20/2018,5/14/2018,5/2/2018,7/12/2018,7/12/2018,24,83,71,0
243,BBFF,5/7/2018,5/11/2018,5/24/2018,7/29/2018,7/30/2018,4,84,66,1
244,BBFF,1/5/2018,3/14/2018,3/27/2018,3/28/2018,5/10/2018,68,125,1,43
245,LifeStyle,3/19/2018,4/9/2018,3/29/2018,6/9/2018,6/17/2018,21,90,72,8
246,BBFF,3/23/2018,3/30/2018,4/10/2018,6/13/2018,6/13/2018,7,82,64,0
247,LifeStyle,4/26/2018,4/27/2018,7/12/2018,7/17/2018,8/10/2018,1,106,5,24
248,LifeStyle,5/25/2018,6/29/2018,7/16/2018,8/15/2018,8/15/2018,35,82,30,0
249,Electronic,4/27/2018,5/3/2018,5/22/2018,7/17/2018,9/8/2018,6,134,56,53
250,Electronic,5/24/2018,7/30/2018,8/1/2018,8/13/2018,9/19/2018,67,118,12,37
251,Book,6/29/2018,8/24/2018,8/21/2018,9/18/2018,9/19/2018,56,82,28,1
252,BBFF,7/13/2018,7/23/2018,7/23/2018,10/2/2018,10/9/2018,10,88,71,7
253,LifeStyle,7/13/2018,7/13/2018,7/18/2018,10/2/2018,10/10/2018,0,89,76,8
254,BBFF,2/5/2018,3/28/2018,4/13/2018,4/26/2018,4/28/2018,51,82,13,2
255,Digital Service,4/4/2018,4/24/2018,6/20/2018,6/23/2018,8/9/2018,20,127,3,47
256,LifeStyle,4/10/2018,4/20/2018,6/28/2018,6/29/2018,7/6/2018,10,87,1,7
257,BBFF,4/16/2018,4/23/2018,5/8/2018,7/5/2018,7/9/2018,7,84,58,4
258,BBFF,5/3/2018,6/22/2018,5/3/2018,7/22/2018,7/27/2018,50,85,80,5
259,BBFF,6/20/2018,8/30/2018,8/28/2018,9/8/2018,9/20/2018,71,92,11,12
260,BBFF,6/20/2018,7/24/2018,7/31/2018,9/8/2018,9/13/2018,34,85,39,5
261,BBFF,7/23/2018,7/30/2018,10/6/2018,10/11/2018,10/18/2018,7,87,5,7
262,LifeStyle,4/23/2018,4/27/2018,7/10/2018,7/11/2018,7/13/2018,4,81,1,2
263,BBFF,5/4/2018,5/25/2018,6/13/2018,7/22/2018,7/19/2018,21,76,39,-3
264,BBFF,5/15/2018,6/11/2018,6/14/2018,8/2/2018,8/4/2018,27,81,49,2
265,Book,6/29/2018,7/27/2018,9/14/2018,9/16/2018,9/17/2018,28,80,2,1
266,BBFF,7/6/2018,8/6/2018,8/10/2018,9/23/2018,10/14/2018,31,100,44,21
267,BBFF,7/10/2018,7/12/2018,7/20/2018,9/27/2018,9/30/2018,2,82,69,3
268,BBFF,4/9/2018,4/20/2018,5/29/2018,6/26/2018,6/27/2018,11,79,28,1
269,BBFF,4/20/2018,4/20/2018,6/25/2018,7/7/2018,7/8/2018,0,79,12,1
270,BBFF,5/14/2018,7/17/2018,7/29/2018,7/31/2018,8/3/2018,64,81,2,3
271,LifeStyle,6/26/2018,7/27/2018,9/10/2018,9/12/2018,9/23/2018,31,89,2,11
272,BBFF,7/18/2018,7/27/2018,8/28/2018,10/4/2018,10/6/2018,9,80,37,2
273,BBFF,7/25/2018,8/21/2018,8/27/2018,10/11/2018,10/12/2018,27,79,45,1
274,BBFF,3/5/2018,3/26/2018,4/5/2018,5/21/2018,5/26/2018,21,82,46,5
275,Electronic,3/13/2018,4/20/2018,5/21/2018,5/29/2018,5/30/2018,38,78,8,1
276,BBFF,4/29/2018,5/14/2018,7/11/2018,7/15/2018,7/16/2018,15,78,4,1
